fire_ID,latitude,longitude,size,perimeter,start_date,end_date,duration,speed,expansion,location,state,state_short,sentiment,num_tweets
6,42.2438,-121.875,0.86,5.56,2016-08-09,2016-08-09,1,0.79,0.86,"Klamath County, OR, USA",Oregon,OR,-0.10000000149011612,1.600000023841858,5
8,41.8938,-122.979,20.37,40.74,2016-08-28,2016-09-12,16,1.49,1.27,"Siskiyou County, CA, USA",California,CA,0.0,3.799999952316284,15
