fire_ID,latitude,longitude,size,perimeter,start_date,end_date,duration,speed,expansion,sentiment,num_tweets
124,37.4688,-117.86,0.43,2.78,2016-05-30,2016-05-31,2,0.74,0.21,
126,37.4396,-114.261,1.07,4.63,2016-07-29,2016-07-29,1,0.88,1.07,
128,37.3646,-113.523,0.86,4.63,2016-07-11,2016-07-11,1,0.53,0.86,
130,37.3479,-113.524,0.21,1.85,2016-07-06,2016-07-06,1,0.46,0.21,
132,37.1229,-121.834,16.94,30.56,2016-09-26,2016-10-09,14,3.0,1.21,
134,37.0146,-119.479,8.79,14.82,2016-07-31,2016-08-02,3,2.17,2.93,
136,36.8313,-120.171,0.21,1.85,2016-11-04,2016-11-04,1,0.46,0.21,
138,36.6646,-119.526,0.21,1.85,2016-03-17,2016-03-17,1,0.46,0.21,
140,36.4604,-121.894,447.39,196.31,2016-07-21,2016-09-17,59,1.89,7.58,
142,36.3188,-121.594,39.23,36.11,2016-09-15,2016-09-25,11,2.55,3.57,
144,36.4938,-119.557,0.21,1.85,2016-11-07,2016-11-07,1,0.46,0.21,
146,36.4188,-121.259,1.93,8.33,2016-04-09,2016-04-14,6,1.57,0.32,
148,36.4146,-121.195,0.64,5.56,2016-04-09,2016-04-14,6,0.67,0.11,
150,36.3896,-111.984,4.07,14.82,2016-06-14,2016-06-22,9,1.25,0.45,
152,36.3521,-119.758,1.93,6.48,2016-03-16,2016-03-30,15,0.5,0.13,
154,36.2688,-112.023,15.01,29.63,2016-07-10,2016-07-24,15,2.96,1.0,
156,36.2979,-112.018,13.51,27.78,2016-07-12,2016-07-31,20,1.01,0.68,
158,36.2521,-118.649,0.21,1.85,2016-11-11,2016-11-11,1,0.46,0.21,
160,36.2396,-118.552,2.57,9.26,2016-10-22,2016-10-29,8,0.91,0.32,
162,36.1313,-120.54,5.14,14.82,2016-08-09,2016-08-13,5,1.57,1.03,
164,36.1646,-121.607,7.72,12.96,2016-09-13,2016-09-17,5,1.66,1.54,
166,36.1354,-121.268,3.22,10.19,2016-06-04,2016-06-09,6,1.69,0.54,
168,36.0896,-118.563,0.64,4.63,2016-10-24,2016-11-01,9,0.65,0.07,
170,36.0104,-121.307,3.64,10.19,2016-06-02,2016-06-05,4,1.35,0.91,
172,35.9896,-118.572,0.21,1.85,2016-11-09,2016-11-09,1,0.46,0.21,
174,35.9729,-118.567,1.07,5.56,2016-11-11,2016-11-13,3,1.07,0.36,
176,35.9479,-111.901,5.14,11.11,2016-07-05,2016-07-12,8,1.08,0.64,
178,35.9313,-120.069,0.21,1.85,2016-06-18,2016-06-18,1,0.46,0.21,
180,35.8813,-119.834,0.21,1.85,2016-11-02,2016-11-02,1,0.46,0.21,
182,35.8688,-118.026,6.43,16.67,2016-06-01,2016-06-12,12,2.34,0.54,
184,35.8563,-120.757,0.21,1.85,2016-04-09,2016-04-09,1,0.46,0.21,
186,35.8313,-119.578,2.14,8.33,2016-07-25,2016-08-12,19,0.65,0.11,
188,35.8188,-120.736,0.21,1.85,2016-04-09,2016-04-09,1,0.46,0.21,
190,35.7604,-120.812,3.22,8.33,2016-05-19,2016-05-19,1,1.4,3.22,
192,35.6479,-118.463,2.36,9.26,2016-06-21,2016-06-25,5,1.17,0.47,
194,35.6229,-119.435,1.29,6.48,2016-10-30,2016-11-06,8,0.47,0.16,
196,35.6063,-119.451,0.21,1.85,2016-10-30,2016-10-30,1,0.46,0.21,
198,35.4938,-119.069,23.58,35.19,2016-04-09,2016-04-15,7,2.16,3.37,
200,35.4063,-111.65,1.71,7.41,2016-10-18,2016-10-24,7,0.92,0.24,
202,35.2313,-118.693,4.93,11.11,2016-07-02,2016-07-04,3,1.65,1.64,
204,35.0354,-111.68,7.29,16.67,2016-05-23,2016-05-29,7,1.87,1.04,
206,34.9604,-114.618,0.21,1.85,2016-05-10,2016-05-10,1,0.46,0.21,
208,34.9396,-114.62,2.14,9.26,2016-05-15,2016-05-22,8,0.87,0.27,
