fire_ID,latitude,longitude,size,perimeter,start_date,end_date,duration,speed,expansion,location,state,state_short,sentiment,magnitude,num_tweets
860886,-23.4145,119.1011,121.12,128.71,2016-11-05,2016-11-13,9,3.47,13.46,"East Pilbara, WA, Australia",Western Australia,WA,
860888,-23.3437,119.1918,0.21,1.85,2016-12-27,2016-12-27,1,0.46,0.21,"East Pilbara, WA, Australia",Western Australia,WA,
860890,-23.377,119.7846,0.86,4.63,2016-12-10,2016-12-10,1,0.5,0.86,"East Pilbara, WA, Australia",Western Australia,WA,
860892,-23.4062,119.2344,0.43,2.78,2016-12-26,2016-12-27,2,0.46,0.21,"East Pilbara, WA, Australia",Western Australia,WA,
860894,-23.4145,114.1928,4.72,11.11,2017-04-04,2017-04-08,5,0.87,0.94,"Carnarvon, WA, Australia",Western Australia,WA,
860896,-23.4145,115.7593,1.5,6.48,2016-10-08,2016-10-11,4,0.84,0.38,"Ashburton, WA, Australia",Western Australia,WA,
860898,-23.4979,119.4762,3.22,8.33,2016-08-15,2016-08-16,2,1.41,1.61,"Meekatharra, WA 6642, Australia",Western Australia,WA,
860900,-23.8145,118.6727,13.72,24.08,2016-11-26,2016-11-30,5,1.11,2.74,"Meekatharra, WA 6642, Australia",Western Australia,WA,
860902,-23.8437,120.1708,11.15,25.93,2016-12-21,2016-12-28,8,1.85,1.39,"Meekatharra, WA 6642, Australia",Western Australia,WA,
860904,-23.902,120.0017,0.43,2.78,2017-04-26,2017-04-28,3,0.46,0.14,"Meekatharra, WA 6642, Australia",Western Australia,WA,
860906,-23.9145,120.0224,0.21,1.85,2017-04-28,2017-04-28,1,0.46,0.21,"Meekatharra, WA 6642, Australia",Western Australia,WA,
860908,-24.052,113.9087,0.21,1.85,2017-04-14,2017-04-14,1,0.46,0.21,"Carnarvon, WA, Australia",Western Australia,WA,
860910,-24.0895,113.8507,0.21,1.85,2017-04-12,2017-04-12,1,0.46,0.21,"Carnarvon, WA, Australia",Western Australia,WA,
860912,-24.1062,113.8518,0.43,3.7,2017-04-04,2017-04-05,2,0.47,0.21,"Carnarvon, WA, Australia",Western Australia,WA,
860914,-24.3312,120.2904,2.14,7.41,2016-12-18,2016-12-26,9,1.05,0.24,"Wiluna, WA 6646, Australia",Western Australia,WA,
860916,-24.4104,119.9722,0.86,4.63,2016-11-07,2016-11-10,4,0.41,0.21,"Meekatharra, WA 6642, Australia",Western Australia,WA,
860918,-24.5354,119.5693,225.73,184.27,2016-11-28,2016-12-14,17,3.58,13.28,"Meekatharra, WA 6642, Australia",Western Australia,WA,
860920,-24.6479,119.5667,7.93,17.59,2016-12-01,2016-12-06,6,1.45,1.32,"Meekatharra, WA 6642, Australia",Western Australia,WA,
860922,-24.6145,120.7402,0.86,4.63,2017-01-23,2017-01-24,2,0.79,0.43,"Wiluna, WA 6646, Australia",Western Australia,WA,
860924,-24.8354,120.188,2.79,7.41,2016-12-19,2016-12-26,8,1.34,0.35,"Wiluna, WA 6646, Australia",Western Australia,WA,
860926,-24.9354,119.4674,0.86,6.48,2017-04-03,2017-04-04,2,1.16,0.43,"Meekatharra, WA 6642, Australia",Western Australia,WA,
860928,-25.0312,120.8757,0.43,2.78,2016-05-31,2016-05-31,1,0.46,0.43,"Wiluna, WA 6646, Australia",Western Australia,WA,
860930,-25.0479,118.0039,0.21,1.85,2017-04-02,2017-04-02,1,0.46,0.21,"Meekatharra, WA 6642, Australia",Western Australia,WA,
860932,-25.0604,117.9607,0.43,2.78,2017-04-03,2017-04-03,1,0.61,0.43,"Meekatharra, WA 6642, Australia",Western Australia,WA,
860934,-25.127,117.9652,0.86,5.56,2017-04-03,2017-04-03,1,0.8,0.86,"Meekatharra, WA 6642, Australia",Western Australia,WA,
860936,-25.1604,118.1401,0.21,1.85,2017-04-03,2017-04-03,1,0.46,0.21,"Meekatharra, WA 6642, Australia",Western Australia,WA,
860938,-25.2395,120.8472,0.64,3.7,2016-05-27,2016-05-29,3,0.47,0.21,"Wiluna, WA 6646, Australia",Western Australia,WA,
860940,-25.3437,118.7657,0.43,2.78,2017-02-23,2017-02-23,1,0.46,0.43,"Meekatharra, WA 6642, Australia",Western Australia,WA,
860942,-25.6145,119.7036,0.21,1.85,2017-04-03,2017-04-03,1,0.46,0.21,"Meekatharra, WA 6642, Australia",Western Australia,WA,
860944,-25.8604,117.6362,3.0,11.11,2017-02-17,2017-02-19,3,1.74,1.0,"Meekatharra, WA 6642, Australia",Western Australia,WA,
860946,-25.902,118.7524,0.43,2.78,2017-04-01,2017-04-03,3,0.47,0.14,"Meekatharra, WA 6642, Australia",Western Australia,WA,
860948,-25.9437,120.0686,11.15,22.22,2016-10-08,2016-10-12,5,1.61,2.23,"Wiluna, WA 6646, Australia",Western Australia,WA,
860950,-25.9395,120.0088,32.16,50.0,2016-10-08,2016-10-12,5,4.02,6.43,"Meekatharra, WA 6642, Australia",Western Australia,WA,
860952,-26.0104,122.2972,0.21,1.85,2017-04-20,2017-04-20,1,0.46,0.21,"Wiluna, WA 6646, Australia",Western Australia,WA,
860954,-26.0437,122.4293,0.21,1.85,2017-03-28,2017-03-28,1,0.46,0.21,"Wiluna, WA 6646, Australia",Western Australia,WA,
860956,-26.0562,119.794,0.64,3.7,2016-10-15,2016-10-15,1,0.52,0.64,"Meekatharra, WA 6642, Australia",Western Australia,WA,
860958,-26.0687,122.4415,0.21,1.85,2017-03-28,2017-03-28,1,0.46,0.21,"Wiluna, WA 6646, Australia",Western Australia,WA,
860960,-26.0812,122.3247,0.21,1.85,2017-03-29,2017-03-29,1,0.46,0.21,"Wiluna, WA 6646, Australia",Western Australia,WA,
860962,-26.1687,120.6708,4.93,10.19,2016-09-21,2016-09-23,3,1.58,1.64,"Wiluna, WA 6646, Australia",Western Australia,WA,
860964,-26.2395,120.5491,0.43,3.7,2016-12-19,2016-12-19,1,0.46,0.43,"Wiluna, WA 6646, Australia",Western Australia,WA,
860966,-26.2812,120.6621,13.08,23.15,2016-12-18,2016-12-20,3,2.81,4.36,"Wiluna, WA 6646, Australia",Western Australia,WA,
860968,-26.3437,119.7554,0.21,1.85,2017-04-03,2017-04-03,1,0.46,0.21,"Meekatharra, WA 6642, Australia",Western Australia,WA,
860970,-26.3854,120.3381,6.0,12.96,2016-11-02,2016-11-06,5,1.2,1.2,"Wiluna, WA 6646, Australia",Western Australia,WA,
860972,-26.4895,120.4423,49.73,51.86,2016-11-07,2016-11-10,4,6.83,12.43,"Wiluna, WA 6646, Australia",Western Australia,WA,
860974,-26.7604,119.4588,114.26,90.75,2016-11-25,2016-11-30,6,9.24,19.04,"Wiluna, WA 6646, Australia",Western Australia,WA,
860976,-26.7145,123.035,0.21,1.85,2017-04-07,2017-04-07,1,0.46,0.21,"Laverton, WA 6440, Australia",Western Australia,WA,
860978,-26.7687,122.5476,5.79,16.67,2016-12-21,2016-12-26,6,1.69,0.96,"Laverton, WA 6440, Australia",Western Australia,WA,
860980,-26.7854,119.6484,6.86,13.89,2016-11-28,2016-11-30,3,1.27,2.29,"Wiluna, WA 6646, Australia",Western Australia,WA,
860982,-26.8895,122.3093,7.72,19.45,2016-11-05,2016-11-09,5,1.42,1.54,"Laverton, WA 6440, Australia",Western Australia,WA,
860984,-27.5312,114.5861,0.43,3.7,2017-01-30,2017-01-30,1,0.46,0.43,"Northampton, WA, Australia",Western Australia,WA,
860986,-27.577,114.648,0.21,1.85,2017-01-30,2017-01-30,1,0.46,0.21,"Northampton, WA, Australia",Western Australia,WA,
860988,-27.6729,114.2827,0.43,2.78,2017-04-24,2017-04-26,3,0.35,0.14,"Northampton, WA, Australia",Western Australia,WA,
860990,-27.827,114.7649,0.43,2.78,2017-01-30,2017-01-30,1,0.46,0.43,"Northampton, WA, Australia",Western Australia,WA,
860992,-27.9645,120.3407,14.15,18.52,2016-12-17,2016-12-18,2,1.71,7.07,"Leonora, WA, Australia",Western Australia,WA,
860994,-28.0229,114.3217,1.71,6.48,2017-02-20,2017-02-20,1,0.96,1.71,"Northampton, WA, Australia",Western Australia,WA,
860996,-28.1937,114.5842,4.93,12.96,2017-04-20,2017-04-30,11,1.06,0.45,"Northampton, WA, Australia",Western Australia,WA,
860998,-28.2937,114.9615,2.36,8.33,2017-04-23,2017-04-29,7,0.83,0.34,"Chapman Valley, WA 6532, Australia",Western Australia,WA,
861000,-28.2979,114.9234,0.86,3.7,2017-04-28,2017-04-29,2,0.55,0.43,"Chapman Valley, WA 6532, Australia",Western Australia,WA,
861002,-28.3187,124.8523,0.21,1.85,2016-11-29,2016-11-29,1,0.46,0.21,"Laverton, WA 6440, Australia",Western Australia,WA,
861004,-28.4312,123.7339,625.31,304.65,2016-11-29,2016-12-10,12,14.01,52.11,"Laverton, WA 6440, Australia",Western Australia,WA,
861006,-28.4145,115.0971,3.86,13.89,2017-03-30,2017-04-01,3,0.96,1.29,"Chapman Valley, WA 6532, Australia",Western Australia,WA,
861008,-28.4437,115.3136,0.64,4.63,2017-02-28,2017-03-01,2,0.46,0.32,"Greater Geraldton, WA, Australia",Western Australia,WA,
861010,-28.4645,115.9904,0.21,1.85,2017-02-19,2017-02-19,1,0.46,0.21,"Greater Geraldton, WA, Australia",Western Australia,WA,
861012,-28.5729,122.0735,57.88,94.45,2016-11-28,2016-12-05,8,4.74,7.23,"Laverton, WA 6440, Australia",Western Australia,WA,
861014,-28.4895,115.596,0.21,1.85,2017-03-14,2017-03-14,1,0.46,0.21,"Greater Geraldton, WA, Australia",Western Australia,WA,
861016,-28.5104,115.5619,0.43,3.7,2017-03-13,2017-03-17,5,0.29,0.09,"Greater Geraldton, WA, Australia",Western Australia,WA,
861018,-28.4937,115.5436,2.79,13.89,2017-03-23,2017-03-28,6,0.87,0.46,"Greater Geraldton, WA, Australia",Western Australia,WA,
861020,-28.5312,114.6077,5.14,11.11,2017-04-20,2017-04-26,7,1.25,0.73,"Chapman Valley, WA 6532, Australia",Western Australia,WA,
861022,-28.5395,120.8633,2.14,9.26,2017-02-18,2017-02-19,2,1.46,1.07,"Leonora, WA, Australia",Western Australia,WA,
861024,-28.6062,122.2214,0.21,1.85,2017-02-18,2017-02-18,1,0.46,0.21,"Laverton, WA 6440, Australia",Western Australia,WA,
861026,-28.6104,114.8649,2.57,8.33,2017-04-23,2017-04-24,2,1.25,1.29,"Chapman Valley, WA 6532, Australia",Western Australia,WA,
861028,-28.6645,114.8435,10.72,18.52,2017-04-20,2017-04-29,10,1.28,1.07,"Greater Geraldton, WA, Australia",Western Australia,WA,
861030,-28.6687,120.9455,0.86,4.63,2017-04-03,2017-04-03,1,0.51,0.86,"Leonora, WA, Australia",Western Australia,WA,
861032,-28.802,114.833,0.64,4.63,2017-04-23,2017-04-27,5,0.39,0.13,"Greater Geraldton, WA, Australia",Western Australia,WA,
861034,-28.8187,114.7372,0.43,2.78,2017-04-30,2017-04-30,1,0.46,0.43,"Greater Geraldton, WA, Australia",Western Australia,WA,
