fire_ID,latitude,longitude,size,perimeter,start_date,end_date,duration,speed,expansion,location,state,state_short,sentiment,magnitude,num_tweets
6388,46.6521,-119.274,0.86,4.63,2016-06-18,2016-06-24,7,0.66,0.12,"Franklin County, WA, USA",Washington,WA,-0.20000000298023224,2.799999952316284,15
6390,46.6479,-119.265,0.21,1.85,2016-08-05,2016-08-05,1,0.46,0.21,"Franklin County, WA, USA",Washington,WA,0.0,3.299999952316284,31
6392,46.6479,-117.674,0.21,1.85,2016-03-31,2016-03-31,1,0.46,0.21,"Garfield County, WA, USA",Washington,WA,0,0,0
6394,46.6063,-117.371,41.59,53.71,2016-07-31,2016-08-18,19,3.03,2.19,"Garfield County, WA, USA",Washington,WA,0.0,13.100000381469727,65
6396,46.6354,-122.896,0.21,1.85,2016-10-29,2016-10-29,1,0.46,0.21,"Lewis County, WA, USA",Washington,WA,-0.30000001192092896,0.699999988079071,2
6398,46.6271,-117.526,0.21,1.85,2016-04-10,2016-04-10,1,0.46,0.21,"Garfield County, WA, USA",Washington,WA,0.0,0.10000000149011612,2
6400,46.6229,-117.505,0.21,1.85,2016-04-06,2016-04-06,1,0.46,0.21,"Garfield County, WA, USA",Washington,WA,-0.10000000149011612,3.0999999046325684,13
6402,46.6188,-116.507,6.65,24.08,2016-09-05,2016-09-25,21,1.37,0.32,"Nez Perce County, ID, USA",Idaho,ID,-0.20000000298023224,0.800000011920929,2
6404,46.4479,-120.132,0.64,4.63,2016-06-20,2016-06-23,4,0.48,0.16,"Yakima County, WA, USA",Washington,WA,-0.20000000298023224,2.5,13
6406,46.4979,-120.079,527.78,289.84,2016-07-29,2016-08-12,15,15.7,35.19,"Yakima County, WA, USA",Washington,WA,0.0,10.300000190734863,52
6408,46.6063,-117.42,0.43,2.78,2016-03-25,2016-04-03,10,0.46,0.04,"Garfield County, WA, USA",Washington,WA,-0.10000000149011612,3.0999999046325684,13
6410,46.5979,-119.161,1.71,8.33,2016-07-26,2016-07-29,4,0.95,0.43,"Franklin County, WA, USA",Washington,WA,-0.10000000149011612,7.400000095367432,23
6412,46.5979,-116.535,0.21,1.85,2016-09-21,2016-09-21,1,0.46,0.21,"Nez Perce County, ID, USA",Idaho,ID,0,0,0
6414,46.5854,-117.472,0.21,1.85,2016-04-15,2016-04-15,1,0.46,0.21,"Garfield County, WA, USA",Washington,WA,-0.10000000149011612,0.10000000149011612,1
6416,46.5813,-117.487,0.64,3.7,2016-04-07,2016-04-09,3,0.51,0.21,"Garfield County, WA, USA",Washington,WA,-0.10000000149011612,3.299999952316284,15
6418,46.5729,-116.511,0.21,1.85,2016-09-21,2016-09-21,1,0.46,0.21,"Nez Perce County, ID, USA",Idaho,ID,0,0,0
6420,46.5646,-116.493,1.5,6.48,2016-09-08,2016-09-14,7,0.8,0.21,"Nez Perce County, ID, USA",Idaho,ID,0,0,0
6422,46.5646,-116.409,1.93,8.33,2016-09-07,2016-09-12,6,0.98,0.32,"Clearwater County, ID, USA",Idaho,ID,-0.699999988079071,0.699999988079071,1
6424,46.5438,-116.515,0.21,1.85,2016-09-16,2016-09-16,1,0.46,0.21,"Nez Perce County, ID, USA",Idaho,ID,0,0,0
6426,46.5438,-120.259,0.21,1.85,2016-07-29,2016-07-29,1,0.46,0.21,"Yakima County, WA, USA",Washington,WA,-0.10000000149011612,7.0,21
6428,46.5021,-120.161,1.07,5.56,2016-08-12,2016-08-15,4,0.75,0.27,"Yakima County, WA, USA",Washington,WA,-0.4000000059604645,0.8999999761581421,2
6430,46.4771,-120.239,1.93,9.26,2016-07-28,2016-07-30,3,1.29,0.64,"Yakima County, WA, USA",Washington,WA,-0.10000000149011612,7.099999904632568,22
6432,46.4688,-118.2,0.43,2.78,2016-10-10,2016-10-10,1,0.46,0.43,"Columbia County, WA, USA",Washington,WA,0.0,0.20000000298023224,2
6434,46.4563,-118.917,0.86,3.7,2016-09-10,2016-09-13,4,0.95,0.21,"Franklin County, WA, USA",Washington,WA,-0.10000000149011612,0.699999988079071,4
6436,46.4479,-120.374,0.43,2.78,2016-10-27,2016-10-27,1,0.46,0.43,"Yakima County, WA, USA",Washington,WA,-0.30000001192092896,0.699999988079071,2
6438,46.4313,-118.904,0.64,3.7,2016-08-04,2016-08-04,1,0.85,0.64,"Franklin County, WA, USA",Washington,WA,0.0,5.300000190734863,39
6440,46.4271,-116.266,0.43,2.78,2016-09-04,2016-09-05,2,0.46,0.21,"Clearwater County, ID, USA",Idaho,ID,-0.10000000149011612,1.7000000476837158,5
6442,46.4229,-120.119,0.21,1.85,2016-07-28,2016-07-28,1,0.46,0.21,"Yakima County, WA, USA",Washington,WA,-0.20000000298023224,4.5,11
6444,46.4146,-116.251,0.21,1.85,2016-08-19,2016-08-19,1,0.46,0.21,"Clearwater County, ID, USA",Idaho,ID,0,0,0
